Id,PostTypeId,CreationDate,Score,ViewCount,OwnerUserId,AnswerCount,CommentCount,FavoriteCount,LastEditorUserId
1,1,2010-07-19 19:12:12,23,1278,8,5,1,14,
2,1,2010-07-19 19:12:57,22,8198,24,7,1,8,88
3,1,2010-07-19 19:13:28,54,3613,18,19,4,36,183
4,1,2010-07-19 19:13:31,13,5224,23,5,2,2,
5,2,2010-07-19 19:14:43,81,,23,,3,,23
6,1,2010-07-19 19:14:44,152,29229,5,15,5,137,22047
7,1,2010-07-19 19:15:59,76,5808,38,24,3,79,253
8,1,2010-07-19 19:16:21,0,288,37,1,2,,449
9,2,2010-07-19 19:16:27,13,,50,,3,,
10,1,2010-07-19 19:17:47,23,21925,24,4,4,12,919
11,1,2010-07-19 19:18:30,2,224,34,1,2,1,34
12,2,2010-07-19 19:18:41,20,,5,,1,,
13,2,2010-07-19 19:18:56,14,,23,,4,,
14,2,2010-07-19 19:19:03,5,,36,,1,,
15,2,2010-07-19 19:19:46,13,,6,,0,,
16,2,2010-07-19 19:22:31,16,,8,,3,,8
17,1,2010-07-19 19:24:12,9,1261,,1,0,1,7972
18,2,2010-07-19 19:24:18,31,,36,,1,,
19,2,2010-07-19 19:24:21,12,,55,,0,,
20,2,2010-07-19 19:24:35,3,,37,,2,,
21,1,2010-07-19 19:24:36,4,184,59,1,1,1,930
22,1,2010-07-19 19:25:39,102,21916,66,15,1,67,930
23,1,2010-07-19 19:26:04,10,7694,69,2,1,2,
24,2,2010-07-19 19:26:13,17,,61,,0,,
25,1,2010-07-19 19:27:13,7,2095,69,7,4,5,69
26,1,2010-07-19 19:27:43,18,3476,75,8,14,7,22047
27,2,2010-07-19 19:28:12,4,,68,,0,,
28,2,2010-07-19 19:28:12,6,,,,0,,
29,2,2010-07-19 19:28:15,5,,36,,0,,
30,1,2010-07-19 19:28:34,7,705,69,8,2,7,919
31,1,2010-07-19 19:28:44,66,175495,13,10,3,56,919
32,2,2010-07-19 19:29:06,12,,5,,0,,
33,1,2010-07-19 19:30:03,5,1428,69,3,1,5,88
34,2,2010-07-19 19:30:07,3,,79,,0,,
35,1,2010-07-19 19:30:30,10,1223,54,2,0,4,54
36,1,2010-07-19 19:31:47,41,67396,8,27,7,21,43889
38,2,2010-07-19 19:32:28,2,,61,,2,,
39,1,2010-07-19 19:32:29,4,210,59,1,0,1,190
40,1,2010-07-19 19:32:47,8,491,69,4,1,2,919
41,2,2010-07-19 19:33:13,8,,83,,0,,
42,2,2010-07-19 19:33:19,12,,80,,3,,
43,2,2010-07-19 19:33:37,7,,74,,5,,74
44,1,2010-07-19 19:34:42,8,453,68,5,1,5,12786
45,2,2010-07-19 19:34:44,5,,55,,1,,
46,2,2010-07-19 19:35:04,0,,62,,2,,62
47,1,2010-07-19 19:36:12,7,312,22,4,2,3,8
48,2,2010-07-19 19:36:20,3,,36,,4,,
49,2,2010-07-19 19:36:52,6,,5,,0,,
50,1,2010-07-19 19:37:31,18,2414,62,7,4,9,919
51,1,2010-07-19 19:37:55,1,120,68,1,0,1,
52,2,2010-07-19 19:39:06,7,,36,,0,,
53,1,2010-07-19 19:39:08,40,25962,17,4,4,20,6029
54,1,2010-07-19 19:41:19,11,497,55,5,5,2,919
55,2,2010-07-19 19:41:39,7,,56,,0,,56
56,2,2010-07-19 19:42:28,56,,,,7,,
57,2,2010-07-19 19:42:34,2,,69,,4,,69
58,1,2010-07-19 19:42:57,10,1667,68,3,0,1,3911
59,2,2010-07-19 19:43:20,24,,39,,1,,805
60,2,2010-07-19 19:43:20,1,,41,,1,,
61,2,2010-07-19 19:44:35,22,,74,,5,,74
62,1,2010-07-19 19:44:58,4,124,58,2,0,,58
63,2,2010-07-19 19:45:19,25,,87,,2,,
64,2,2010-07-19 19:46:08,6,,5,,0,,5
65,2,2010-07-19 19:46:11,14,,8,,3,,8
66,2,2010-07-19 19:46:11,5,,41,,0,,
67,2,2010-07-19 19:47:16,2,,36,,0,,
69,2,2010-07-19 19:47:49,3,,56,,0,,
70,2,2010-07-19 19:48:45,15,,22,,1,,22
71,2,2010-07-19 19:50:33,2,,36,,0,,
72,2,2010-07-19 19:51:05,6,,96,,0,,
73,1,2010-07-19 19:51:32,24,5717,22,24,5,26,88
74,2,2010-07-19 19:51:34,25,,88,,0,,
75,1,2010-07-19 19:52:31,5,754,69,5,4,7,
76,2,2010-07-19 19:52:49,22,,5,,3,,
77,2,2010-07-19 19:54:03,16,,74,,7,,74
78,2,2010-07-19 19:54:38,33,,8,,4,,8
79,2,2010-07-19 19:56:04,4,,25,,1,,
80,2,2010-07-19 19:56:43,8,,93,,2,,
81,2,2010-07-19 19:58:56,7,,69,,0,,
83,2,2010-07-19 20:02:51,2,,5,,0,,
84,2,2010-07-19 20:03:34,6,,41,,0,,
85,2,2010-07-19 20:08:00,15,,87,,2,,87
86,2,2010-07-19 20:08:37,8,,13,,5,,13
89,2,2010-07-19 20:11:47,5,,55,,0,,
90,2,2010-07-19 20:12:24,3,,22,,0,,
91,2,2010-07-19 20:15:54,10,,87,,0,,87
93,1,2010-07-19 20:17:07,5,412,61,1,3,3,88
94,2,2010-07-19 20:18:24,5,,88,,0,,
95,1,2010-07-19 20:21:35,5,446,57,2,0,2,154
96,2,2010-07-19 20:22:44,4,,5,,0,,
97,1,2010-07-19 20:23:22,35,14608,114,8,1,14,88
98,2,2010-07-19 20:23:57,10,,39,,0,,39
99,2,2010-07-19 20:25:08,7,,88,,1,,
100,1,2010-07-19 20:30:23,4,3918,117,2,0,1,
101,2,2010-07-19 20:32:08,40,,,,6,,
102,2,2010-07-19 20:32:14,1,,22,,0,,22
103,1,2010-07-19 20:33:26,28,1990,5,16,6,37,88
104,2,2010-07-19 20:34:46,16,,74,,0,,
105,2,2010-07-19 20:35:34,19,,46,,1,,615
107,2,2010-07-19 20:36:01,11,,46,,0,,615
108,2,2010-07-19 20:36:47,14,,5,,1,,615
109,1,2010-07-19 20:37:21,2,3980,25,1,2,1,
110,2,2010-07-19 20:40:36,3,,61,,2,,
111,2,2010-07-19 20:41:24,8,,8,,3,,
112,2,2010-07-19 20:52:27,2,,12,,0,,615
113,1,2010-07-19 20:54:23,9,413,39,1,5,6,39
114,1,2010-07-19 21:00:53,30,1220,8,13,1,22,32036
