Id,Reputation,CreationDate,Views,UpVotes,DownVotes
-1,1,2010-07-19 06:55:26,0,5007,1920
2,101,2010-07-19 14:01:36,25,3,0
3,101,2010-07-19 15:34:50,22,19,0
4,101,2010-07-19 19:03:27,11,0,0
5,6792,2010-07-19 19:03:57,1145,662,5
6,457,2010-07-19 19:04:07,114,47,0
7,429,2010-07-19 19:04:37,56,20,0
8,6764,2010-07-19 19:04:52,1089,604,25
10,121,2010-07-19 19:05:40,20,2,0
11,136,2010-07-19 19:06:02,10,10,0
12,101,2010-07-19 19:06:34,10,5,0
13,817,2010-07-19 19:06:49,178,44,1
15,11,2010-07-19 19:07:32,8,0,0
16,101,2010-07-19 19:08:13,4,7,0
17,345,2010-07-19 19:08:28,14,13,1
18,128,2010-07-19 19:08:29,8,16,0
19,101,2010-07-19 19:08:45,13,2,0
21,101,2010-07-19 19:08:56,6,0,0
22,591,2010-07-19 19:09:00,90,693,6
23,308,2010-07-19 19:09:16,52,34,1
24,344,2010-07-19 19:09:32,48,36,1
25,4968,2010-07-19 19:09:32,641,328,23
26,3150,2010-07-19 19:09:39,257,138,7
27,101,2010-07-19 19:09:41,10,2,0
29,2250,2010-07-19 19:09:42,318,28,1
30,2185,2010-07-19 19:10:15,312,40,3
33,221,2010-07-19 19:11:08,11,2,0
34,185,2010-07-19 19:11:11,27,23,0
35,101,2010-07-19 19:11:38,4,9,0
36,1570,2010-07-19 19:11:52,173,26,1
37,156,2010-07-19 19:11:56,2,0,0
38,133,2010-07-19 19:11:57,15,1,0
39,1651,2010-07-19 19:11:59,255,12,0
40,41,2010-07-19 19:12:00,8,2,0
41,611,2010-07-19 19:12:01,83,12,0
43,101,2010-07-19 19:12:20,1,1,1
46,111,2010-07-19 19:13:09,350,59,15
47,1,2010-07-19 19:13:09,19,0,0
50,101,2010-07-19 19:14:49,3,3,0
51,101,2010-07-19 19:14:51,0,1,0
52,861,2010-07-19 19:15:05,62,12,0
53,138,2010-07-19 19:15:17,8,7,0
54,360,2010-07-19 19:15:49,18,21,2
55,366,2010-07-19 19:16:09,16,48,1
56,563,2010-07-19 19:16:54,64,10,0
57,126,2010-07-19 19:18:14,7,93,0
58,123,2010-07-19 19:19:11,19,3,0
59,402,2010-07-19 19:19:26,82,51,0
60,101,2010-07-19 19:19:32,8,1,1
61,1956,2010-07-19 19:19:49,147,39,4
62,549,2010-07-19 19:20:15,90,13,3
64,136,2010-07-19 19:20:47,11,4,0
65,101,2010-07-19 19:20:50,8,4,0
66,614,2010-07-19 19:21:06,102,12,0
67,101,2010-07-19 19:21:41,4,0,0
68,503,2010-07-19 19:21:51,42,10,0
69,530,2010-07-19 19:22:10,174,630,6
71,1936,2010-07-19 19:24:18,328,2317,1
72,800,2010-07-19 19:24:26,77,58,0
74,2316,2010-07-19 19:25:03,1126,74,65
75,321,2010-07-19 19:25:59,44,4,0
76,101,2010-07-19 19:26:08,3,9,0
77,260,2010-07-19 19:26:18,8,36,0
78,123,2010-07-19 19:26:51,4,4,0
79,212,2010-07-19 19:27:02,10,5,0
80,211,2010-07-19 19:27:08,16,7,0
81,1307,2010-07-19 19:27:18,80,86,0
82,685,2010-07-19 19:27:35,49,68,0
83,804,2010-07-19 19:28:27,64,11,0
84,101,2010-07-19 19:29:58,3,10,0
85,176,2010-07-19 19:31:36,25,3,0
87,740,2010-07-19 19:34:45,89,58,2
88,14082,2010-07-19 19:35:37,3320,4235,126
89,1281,2010-07-19 19:35:55,105,61,4
90,561,2010-07-19 19:36:44,287,27,0
91,101,2010-07-19 19:39:15,8,0,0
92,31,2010-07-19 19:42:29,5,3,0
93,96,2010-07-19 19:42:47,3,2,0
94,111,2010-07-19 19:42:55,15,6,0
96,441,2010-07-19 19:43:25,80,18,0
98,291,2010-07-19 19:45:00,24,141,1
99,151,2010-07-19 19:45:41,42,3,0
101,502,2010-07-19 19:48:20,49,109,0
102,101,2010-07-19 19:48:21,5,4,0
103,261,2010-07-19 19:52:18,34,41,1
104,146,2010-07-19 19:52:32,26,23,0
105,101,2010-07-19 19:53:19,0,0,0
107,160,2010-07-19 19:56:31,14,20,3
108,305,2010-07-19 20:02:18,171,4,0
110,443,2010-07-19 20:09:18,59,9,1
111,101,2010-07-19 20:10:59,2,1,0
112,101,2010-07-19 20:11:16,0,0,0
113,101,2010-07-19 20:11:48,0,0,0
114,708,2010-07-19 20:14:34,61,44,1
115,101,2010-07-19 20:16:23,8,0,0
116,101,2010-07-19 20:16:27,2,9,0
117,123,2010-07-19 20:17:05,4,1,0
118,473,2010-07-19 20:17:12,60,46,0
119,139,2010-07-19 20:20:15,12,0,0
120,101,2010-07-19 20:21:35,3,1,0
121,101,2010-07-19 20:23:47,4,3,0
122,101,2010-07-19 20:38:50,8,0,0
123,101,2010-07-19 20:41:22,56,21,0
124,121,2010-07-19 20:47:18,8,8,0
125,391,2010-07-19 20:49:05,31,0,0
126,101,2010-07-19 20:49:08,1,0,0
127,236,2010-07-19 20:52:00,46,29,1
128,166,2010-07-19 20:56:47,19,22,0
129,101,2010-07-19 21:04:06,8,9,0
130,241,2010-07-19 21:04:50,24,2,0
131,216,2010-07-19 21:07:17,14,6,0
132,33,2010-07-19 21:12:37,8,2,0
133,116,2010-07-19 21:17:17,6,2,1
134,101,2010-07-19 21:20:48,0,1,1
135,101,2010-07-19 21:22:51,1,2,0
138,231,2010-07-19 21:29:03,24,20,0
139,758,2010-07-19 21:29:29,241,41,0
140,1,2010-07-19 21:33:50,4,4,0
141,101,2010-07-19 21:34:47,0,0,0
142,185,2010-07-19 21:36:37,19,10,0
143,101,2010-07-19 21:41:45,1,0,0
144,1396,2010-07-19 21:43:26,269,477,1
145,99,2010-07-19 21:51:32,8,4,0
147,101,2010-07-19 21:55:38,1,0,0
148,228,2010-07-19 21:55:51,11,12,0
151,101,2010-07-19 22:22:09,9,0,0
152,101,2010-07-19 22:25:14,1,0,0
153,101,2010-07-19 22:33:22,3,0,0
154,321,2010-07-19 22:38:17,23,6,0
155,101,2010-07-19 22:44:20,1,2,0
156,101,2010-07-19 22:45:52,0,0,0
158,111,2010-07-19 23:03:49,2,15,0
159,18283,2010-07-19 23:05:39,3781,1014,59
160,101,2010-07-19 23:12:37,2,0,0
161,101,2010-07-19 23:17:43,1,8,0
162,101,2010-07-19 23:24:34,2,1,0
163,276,2010-07-19 23:25:07,12,1,0
164,101,2010-07-19 23:43:33,3,2,0
165,36,2010-07-19 23:45:56,2,1,0
166,118,2010-07-20 00:16:31,3,7,0
167,101,2010-07-20 00:19:15,21,0,0
168,147,2010-07-20 00:26:58,61,8,1
169,113,2010-07-20 00:27:33,19,5,0
170,208,2010-07-20 00:34:17,52,48,1
171,171,2010-07-20 00:35:39,9,0,0
172,564,2010-07-20 00:45:34,113,15,0
173,453,2010-07-20 00:50:22,39,15,0
174,792,2010-07-20 01:09:07,78,163,4
175,236,2010-07-20 01:14:50,46,53,0
176,101,2010-07-20 01:16:04,0,0,0
177,101,2010-07-20 01:27:29,0,0,0
178,11,2010-07-20 01:39:55,2,8,0
179,1416,2010-07-20 01:47:47,147,352,10
180,101,2010-07-20 02:11:42,0,0,0
181,101,2010-07-20 02:48:01,6,60,0
183,22625,2010-07-20 02:56:34,4069,2496,45
184,101,2010-07-20 03:09:14,3,3,0
186,101,2010-07-20 03:40:53,1,1,0
187,446,2010-07-20 03:47:11,69,6,0
188,211,2010-07-20 03:49:17,19,2,0
189,205,2010-07-20 04:27:02,17,0,0
190,1166,2010-07-20 04:40:54,146,482,24
191,313,2010-07-20 04:57:05,16,8,0
193,101,2010-07-20 05:22:58,0,1,0
194,38,2010-07-20 05:30:27,7,4,0
195,101,2010-07-20 05:39:37,7,0,0
196,6140,2010-07-20 05:57:22,649,497,114
197,138,2010-07-20 05:58:06,5,21,1
198,908,2010-07-20 06:26:42,42,69,0
199,1815,2010-07-20 06:31:18,188,149,3
200,128,2010-07-20 06:56:32,24,9,0
202,101,2010-07-20 07:04:42,3,0,0
203,101,2010-07-20 07:08:11,1,1,0
204,101,2010-07-20 07:15:45,0,4,0
206,101,2010-07-20 08:05:39,0,2,0
207,101,2010-07-20 08:09:29,4,0,0
210,337,2010-07-20 08:27:20,47,32,1
211,586,2010-07-20 08:36:49,11,0,0
212,101,2010-07-20 08:42:22,1,11,1
213,63,2010-07-20 08:46:59,9,1,0
214,266,2010-07-20 09:18:20,31,29,0
215,2496,2010-07-20 09:21:13,384,5,0
216,31,2010-07-20 09:22:49,4,0,0
217,522,2010-07-20 09:31:29,111,16,1
218,121,2010-07-20 09:43:51,9,12,0
219,184,2010-07-20 10:17:21,119,2,0
220,248,2010-07-20 11:00:58,34,11,0
221,615,2010-07-20 11:19:08,77,95,0
222,101,2010-07-20 12:31:30,3,3,0
223,4022,2010-07-20 12:52:54,1471,345,19
225,101,2010-07-20 13:09:13,6,0,0
226,1293,2010-07-20 13:24:56,266,55,0
227,226,2010-07-20 13:40:24,4,71,0
228,121,2010-07-20 13:42:27,4,9,0
229,629,2010-07-20 14:01:46,64,65,0
230,1233,2010-07-20 14:01:51,106,170,2
232,101,2010-07-20 14:15:05,0,4,0
233,101,2010-07-20 14:40:51,3,4,0
235,101,2010-07-20 14:49:00,5,0,0
236,221,2010-07-20 14:55:17,9,8,0
239,101,2010-07-20 15:42:16,66,3,0
240,281,2010-07-20 15:52:57,31,8,0
241,101,2010-07-20 16:08:24,0,0,0
246,101,2010-07-20 18:22:45,9,0,1
247,898,2010-07-20 19:05:26,104,82,3
248,101,2010-07-20 19:10:58,0,1,0
250,131,2010-07-21 01:16:35,6,9,0
251,7931,2010-07-21 03:28:48,984,819,0
252,315,2010-07-21 04:21:11,40,8,0
253,5309,2010-07-21 07:53:50,1147,1160,5
254,101,2010-07-21 10:25:49,0,3,0
255,195,2010-07-21 10:33:14,11,32,0
256,171,2010-07-21 12:09:13,6,2,0
257,121,2010-07-21 12:50:02,2,2,0
258,101,2010-07-21 14:38:52,1,9,0
259,138,2010-07-21 19:51:13,6,3,0
260,526,2010-07-21 20:21:20,24,2,0
261,442,2010-07-21 21:38:24,84,30,2
263,101,2010-07-22 04:38:06,4,0,0
264,4701,2010-07-22 05:56:36,839,1408,55
266,1272,2010-07-22 10:01:15,335,108,1
267,91,2010-07-22 10:51:54,17,4,0
268,101,2010-07-22 11:14:22,4,1,0
270,229,2010-07-22 14:55:30,25,4,0
273,1384,2010-07-23 01:54:43,87,17,0
275,101,2010-07-24 17:44:19,0,0,0
276,201,2010-07-24 20:31:14,17,10,0
277,131,2010-07-25 15:46:36,22,1,0
278,101,2010-07-26 16:14:19,7,0,0
279,6176,2010-07-26 17:02:09,374,578,8
280,101,2010-07-26 17:50:10,1,27,0
281,101,2010-07-26 19:08:57,1,0,0
282,101,2010-07-26 19:09:32,7,2,0
283,118,2010-07-26 19:11:05,5,23,0
284,190,2010-07-26 19:11:25,10,191,0
285,223,2010-07-26 19:12:44,6,3,0
287,847,2010-07-26 19:16:35,73,19,0
